evt,grp,lnk,attendees,maploc,city,subcity,state,street,subcity_lat,subcity_lng,city_id
"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,https://www.meetup.com/photography-classes-nyc/events/274851102,1,https://www.google.com/maps/search/api=1&query=40.737290%2C-73.995834,Newark,New York,NY,51 W 14th St #3r,42.724563399999994,-73.7009225,3
Lets meet some wolves ,A little bit of this and a little of that,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,26,https://www.google.com/maps/search/api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us,Newark,Columbia,NJ,89 Mount Pleasant Road,39.6378952,-74.6987704,2
New Year Wine & Design Wine glass painting),New Jersey Foodies & Drinkies,https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,6,https://www.google.com/maps/search/api=1&query=40.790756%2C-74.058950,Newark,Secaucus,NJ,151 Front St,40.790721999999995,-74.058921,2
Wine and Chocolate at Le Prive,Wine and Chocolate,https://www.meetup.com/meetup-group-fnuzmite/events/275581098,10,https://www.google.com/maps/search/api=1&query=Le+Priv%C3%A9%2C+626+10th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJzdsrBVJYwokRcgaS-AtJMT4,Newark,New York,NY,626 10th Ave,40.7127281,-74.0060152,3
The Cornwall Writers' Circle,The Cornwall Writers Circle,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275736365,4,https://www.google.com/maps/search/api=1&query=40.742947%2C-73.984604,Newark,New York,NY,See Description Box for,40.867384,-73.926406,3
Shut Up & Write! East Village/Lower East Side,Shut Up & Write! NYC,https://www.meetup.com/shutupandwriteNYC/events/275778873,1,https://www.google.com/maps/search/api=1&query=40.723694%2C-73.987831,Newark,New York,NY,26 1st Avenue,40.7587979,-73.96234270000001,3
Online Language Exchange,English Classes in Midtown Manhattan,https://www.meetup.com/ESOLclasses/events/275070625,14,https://www.google.com/maps/search/api=1&query=40.712776%2C-74.005974,Newark,New York,NY,Web-Based Remote Event,42.984183,-77.408627,3
Continue learning Russian,New York Learn the Russian Language Meetup,https://www.meetup.com/New-York-Learn-the-Russian-Language-Meetup/events/275756376,1,https://www.google.com/maps/search/api=1&query=275+Greenwich+Street%2C+New+York%2C+NY%2C+10007%2C+us,Newark,New York,NY,275 Greenwich Street,40.715182,-74.011198,3
Let's talk Russian,Russian Conversation and Reading Meetup,https://www.meetup.com/Russian-Conversation-Reading-Meetup/events/275756196,1,https://www.google.com/maps/search/api=1&query=119+MacDougal+Street%2C+New+York%2C+NY%2C+10012%2C+us,Newark,New York,NY,119 MacDougal Street,40.729907,-74.000629,3
Retail Therapy | Shop Luxury Furnishings with an Interior Designer! ,NYC Retail Therapy Sessions,https://www.meetup.com/le-look-parfait-retail-therapy-club/events/275775807,2,https://www.google.com/maps/search/api=1&query=40.739418%2C-73.998871,Newark,New York,NY,89 7th Ave,40.749195,-73.99186800000001,3
Korean Conversation Meetup! Open to all levels :) ,Korean Language and Culture Exchange in Midtown NYC,https://www.meetup.com/koreancultureny/events/275731134,2,https://www.google.com/maps/search/api=1&query=40.747902%2C-73.987366,Newark,New York,NY,38 West 32nd Street,40.747904999999996,-73.986995,3
Online Language Exchange ,Language Classes in Midtown Manhattan,https://www.meetup.com/languageclasses/events/275776227,2,https://www.google.com/maps/search/api=1&query=40.712776%2C-74.005974,Newark,New York,NY,Web-Based Remote Event,42.984183,-77.408627,3
Language Exchange Party!,NYC Language Exchange Friends,https://www.meetup.com/NYC-Language-Exchange-Meetup/events/275715964,5,https://www.google.com/maps/search/api=1&query=40.754047%2C-73.991440,Newark,New York,NY,247 W 37th St,40.753521,-73.990215,3
Digital Art Class ( Ipad procreat ).,The English Lounge Art Events,https://www.meetup.com/The-English-Lounge-new-york/events/275770605,1,https://www.google.com/maps/search/api=1&query=38+W+32nd+St.+%231212%2C+New+York%2C+NY%2C+10001%2C+us,Newark,New York,NY,38 W 32nd St. #1212,40.747786700000006,-73.98742309999999,3
English Conversation Class for Advanced Learners,New York Language and Culture Exchange,https://www.meetup.com/New-York-Language-and-Culture-Exchange/events/275759944,2,https://www.google.com/maps/search/api=1&query=40.768154%2C-73.986938,Newark,New York,NY,422 W 57th St (entrance to the right of Trinity Church),40.7681633,-73.9869246,3
