id,state,city,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link,event_lat,event_lng,address
41,NJ,Newark,Urban Athletics: Ride to Fort Totten,"NYC Chill Hiking, Camping, and Other Activities",11,40.7245,-74.1725,282011,https://www.meetup.com/NYC-Chill-Hiking-Camping-Meetup/events/275600105,NY,New York,27 W 24th St Suite 800B,https://www.google.com/maps/search/?api=1&query=Flatiron+Public+Plaza%2C+27+W+24th+St+Suite+800B%2C+New+York%2C+NY%2C+10010%2C+us&query_place_id=ChIJ8Yt6BKRZwokRQoQtLN9_2T8,42.7353928,-73.7132298,"""27 W 24th St Suite 800B,New York,NY"""
42,NJ,Newark,Midtown Murder Mystery Scavenger History Hunt,SINGLES TRAVEL AND ADVENTURE!,1,40.7245,-74.1725,282011,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275554958,NY,New York,Broadway Entrance at 34th/35th,https://www.google.com/maps/search/?api=1&query=Broadway+Entrance+at+34th%2F35th%2C+New+York%2C+NY%2C+us,40.857977,-73.930904,"""Broadway Entrance at 34th/35th,New York,NY"""
43,NJ,Newark,Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,24,40.7245,-74.1725,282011,https://www.meetup.com/trailshrinks/events/275798719,NJ,West Orange,Crest Dr,https://www.google.com/maps/search/?api=1&query=40.810840%2C-74.234490,40.8033942,-74.2382416,"""Crest Dr,West Orange,NJ"""
46,NJ,Newark,Drive-In Movie Night Series,JCFamilies,8,40.7245,-74.1725,282011,https://www.meetup.com/JCFamilies/events/275750360,NJ,Jersey City,107 Morgan St,https://www.google.com/maps/search/?api=1&query=107+Morgan+St%2C+107+Morgan+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJdRGHOaxQwokRBoZblxPrgUM,40.71979,-74.038622,"""107 Morgan St,Jersey City,NJ"""
47,NJ,Newark,Bayonne Book Club Meetup - Bad Monkey by Carl Hiaasen,Bayonne Book Club - The Life I Left Behind by Colette McBeth,1,40.7245,-74.1725,282011,https://www.meetup.com/Bayonne-Book-Club/events/275758392,NJ,Bayonne,1075 Broadway,https://www.google.com/maps/search/?api=1&query=1075+Broadway%2C+Bayonne%2C+NJ%2C+07002%2C+us,40.6667697,-74.1154202,"""1075 Broadway,Bayonne,NJ"""
48,NJ,Newark,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275746658,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
49,NJ,Newark,Prenatal Yoga and Meditation,West Orange Pregnancy Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275737290,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
50,NJ,Newark,Storytime at Columbus Library,Midtown Mamas,0,40.7245,-74.1725,282011,https://www.meetup.com/Midtown-Mamas/events/275726908,NY,New York,742 10th Ave (between 50 and 51 Sts.,https://www.google.com/maps/search/?api=1&query=742+10th+Ave+%28between+50+and+51+Sts.%2C+New+York%2C+NY%2C+us,40.766684,-73.996493,"""742 10th Ave (between 50 and 51 Sts.,New York,NY"""
51,NJ,Newark,Annual MLK Day Reflection Hike,HIKEOLUTION,22,40.7245,-74.1725,282011,https://www.meetup.com/HIKEOLUTION/events/275723348,NJ,Maplewood,64 Cherry Ln,https://www.google.com/maps/search/?api=1&query=40.755500%2C-74.291405,40.731729,-74.245658,"""64 Cherry Ln,Maplewood,NJ"""
52,NJ,Newark,Experience Pranic Healing and Meditation on Twin Hearts,Meditation on Twin Hearts,2,40.7245,-74.1725,282011,https://www.meetup.com/meetup-group-ZVKtzOVt/events/275758899,NJ,Lyndhurst,"420 Valley Brook Avenue, Lyndhurst 07071",https://www.google.com/maps/search/?api=1&query=420+Valley+Brook+Avenue%2C+Lyndhurst+07071%2C+Lyndhurst%2C+NJ%2C+us,40.8094,-74.1245,"""420 Valley Brook Avenue, Lyndhurst 07071,Lyndhurst,NJ"""
55,NJ,Newark,Kundalini Yoga and Meditation,Montclair NJ Kundalini Yoga and Meditation Meetup Group,1,40.7245,-74.1725,282011,https://www.meetup.com/Montclair-NJ-Kundalini-Yoga-and-Meditation-Meetup-Group/events/275726675,NJ,Montclair,127 Valley Road,https://www.google.com/maps/search/?api=1&query=40.821861%2C-74.219841,40.8164458,-74.2210643,"""127 Valley Road,Montclair,NJ"""
57,NJ,Newark,ONLINE Lunchtime Meditation ,Meditation in Maplewood and Millburn,1,40.7245,-74.1725,282011,https://www.meetup.com/Dharmachakra-Buddhist-Center/events/275790380,NJ,Vauxhall,2933 Vauxhall Road,https://www.google.com/maps/search/?api=1&query=40.720901%2C-74.288803,40.73149,-74.28293,"""2933 Vauxhall Road,Vauxhall,NJ"""
58,NJ,Newark,Primordial Qigong,Primordial Qigong and Taiji Healing,3,40.7245,-74.1725,282011,https://www.meetup.com/Primordial-Qigong/events/275734703,NY,New York,191 Canal St,https://www.google.com/maps/search/?api=1&query=40.717136%2C-73.998001,40.7127281,-74.0060152,"""191 Canal St,New York,NY"""
59,NJ,Newark,Meditation for Beginners - Free Webinar & Online offerings,Inner Engineering New York (Isha Yoga & Meditation Classes),2,40.7245,-74.1725,282011,https://www.meetup.com/Inner-Engineering-New-York-Isha-Yoga-Meditation-Classes/events/275796627,NY,New York,..,https://www.google.com/maps/search/?api=1&query=..%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152,"""..,New York,NY"""
60,NJ,Newark,"Introduction to Somatic Therapy, Core Energetics & Body-Based Psychotherapy",Energy Healers NYC,1,40.7245,-74.1725,282011,https://www.meetup.com/EnergyHealersNYC/events/275777601,NY,New York,150 W 28th St suite 1101 b,https://www.google.com/maps/search/?api=1&query=40.746738%2C-73.992882,40.7468832,-73.9928245,"""150 W 28th St suite 1101 b,New York,NY"""
62,NJ,Newark,Introduction to Core Energetics (Body-Oriented Psychotherapy),"Love, Happiness & Success NYC",1,40.7245,-74.1725,282011,https://www.meetup.com/LoveHappinessSuccess/events/275777603,NY,New York,150W W 28th St,https://www.google.com/maps/search/?api=1&query=150W+W+28th+St%2C+150W+W+28th+St%2C+New+York%2C+NY%2C+10001%2C+us&query_place_id=ChIJqcY2ia9ZwokRoPagk6l4gsM,40.746583,-73.991653,"""150W W 28th St,New York,NY"""
63,NJ,Newark,ZOOM EVENT: WHY ARE SOME PEOPLE CRUEL?,Cafe Philo New York,5,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Cafe-Philo/events/275622033,NY,New York,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640,40.704804,-74.010394,"""10 South William St,New York,NY"""
64,NJ,Newark,"weekly astronomy / physics, see details section for RSVP info, sometimes cancels","#""AAA.org & Darwin fans!"" Astronomy, Evolution, Science, NYC",3,40.7245,-74.1725,282011,https://www.meetup.com/NYC-Evolution-Meetup/events/275687387,NY,New York,link in description of event,https://www.google.com/maps/search/?api=1&query=40.712784%2C-74.005943,40.799948,-73.95119,"""link in description of event,New York,NY"""
67,NJ,Newark,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.7245,-74.1725,282011,https://www.meetup.com/photography-classes-nyc/events/274851102,NY,New York,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834,42.7245634,-73.7009225,"""51 W 14th St #3r,New York,NY"""
68,NJ,Newark,Let’s meet some wolves ,A little bit of this and a little of that,26,40.7245,-74.1725,282011,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,NJ,Columbia,89 Mount Pleasant Road,https://www.google.com/maps/search/?api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us,39.6378952,-74.6987704,"""89 Mount Pleasant Road,Columbia,NJ"""
69,NJ,Newark,🎉New Year Wine & Design 🍷🖌Wine glass painting)🎨,New Jersey Foodies & Drinkies,6,40.7245,-74.1725,282011,https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,NJ,Secaucus,151 Front St,https://www.google.com/maps/search/?api=1&query=40.790756%2C-74.058950,40.790722,-74.058921,"""151 Front St,Secaucus,NJ"""
70,NJ,Newark,Wine and Chocolate at Le Prive,Wine and Chocolate,10,40.7245,-74.1725,282011,https://www.meetup.com/meetup-group-fnuzmite/events/275581098,NY,New York,626 10th Ave,https://www.google.com/maps/search/?api=1&query=Le+Priv%C3%A9%2C+626+10th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJzdsrBVJYwokRcgaS-AtJMT4,40.7127281,-74.0060152,"""626 10th Ave,New York,NY"""
72,NJ,Newark,The Cornwall Writers' Circle,The Cornwall Writers Circle,4,40.7245,-74.1725,282011,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275736365,NY,New York,See Description Box for,https://www.google.com/maps/search/?api=1&query=40.742947%2C-73.984604,40.867384,-73.926406,"""See Description Box for,New York,NY"""
73,NJ,Newark,Shut Up & Write!® East Village/Lower East Side,Shut Up & Write!® NYC,1,40.7245,-74.1725,282011,https://www.meetup.com/shutupandwriteNYC/events/275778873,NY,New York,26 1st Avenue,https://www.google.com/maps/search/?api=1&query=40.723694%2C-73.987831,40.7587979,-73.9623427,"""26 1st Avenue,New York,NY"""
74,NJ,Newark,Online Language Exchange,English Classes in Midtown Manhattan,14,40.7245,-74.1725,282011,https://www.meetup.com/ESOLclasses/events/275070625,NY,New York,Web-Based Remote Event,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974,42.984183,-77.408627,"""Web-Based Remote Event,New York,NY"""
75,NJ,Newark,Continue learning Russian,New York Learn the Russian Language Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Learn-the-Russian-Language-Meetup/events/275756376,NY,New York,275 Greenwich Street,https://www.google.com/maps/search/?api=1&query=275+Greenwich+Street%2C+New+York%2C+NY%2C+10007%2C+us,40.715182,-74.011198,"""275 Greenwich Street,New York,NY"""
76,NJ,Newark,Let's talk Russian,Russian Conversation and Reading Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/Russian-Conversation-Reading-Meetup/events/275756196,NY,New York,119 MacDougal Street,https://www.google.com/maps/search/?api=1&query=119+MacDougal+Street%2C+New+York%2C+NY%2C+10012%2C+us,40.729907,-74.000629,"""119 MacDougal Street,New York,NY"""
78,NJ,Newark,Retail Therapy | Shop Luxury Furnishings with an Interior Designer! ,NYC Retail Therapy Sessions,2,40.7245,-74.1725,282011,https://www.meetup.com/le-look-parfait-retail-therapy-club/events/275775807,NY,New York,89 7th Ave,https://www.google.com/maps/search/?api=1&query=40.739418%2C-73.998871,40.749195,-73.991868,"""89 7th Ave,New York,NY"""
