state,city,event_name,group_name,attendees,lat,lng,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address
NY,New York,The Cornwall Writers' Circle,The Cornwall Writers Circle,4,40.7127281,-74.0060152,Writing,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275886062,See Description Box for,https://www.google.com/maps/search/?api=1&query=40.742947%2C-73.984604,40.867384,-73.926406,"""See Description Box for New York, NY"""
NY,Brooklyn,Writing Workshop,Panera Collective -- Novel Writing Workshop,1,40.6501038,-73.9495823,Writing,https://www.meetup.com/Panera-Collective/events/275831786,345 Adams St.,https://www.google.com/maps/search/?api=1&query=40.692776%2C-73.988472,40.693899,-73.989387,"""345 Adams St. Brooklyn, NY"""
NY,New York,Shut Up & Write!® East Village/Lower East Side,Shut Up & Write!® NYC,1,40.7127281,-74.0060152,Writing,https://www.meetup.com/shutupandwriteNYC/events/275919961,26 1st Avenue,https://www.google.com/maps/search/?api=1&query=40.723694%2C-73.987831,40.7587979,-73.9623427,"""26 1st Avenue New York, NY"""
NY,New York,Regular Meeting,Alternative Banking Group - Occupy Wall Street of NYC,2,40.7127281,-74.0060152,Movements,https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790758,Cyberspace,https://www.google.com/maps/search/?api=1&query=Cyberspace%2C+New+York%2C+ny%2C+10001%2C+us,40.714269,-74.005973,"""Cyberspace New York, NY"""
NY,Brooklyn,Rise and Resist Meeting,Rise and Resist,1,40.6501038,-73.9495823,Movements,https://www.meetup.com/rise-and-resist/events/275876132,320 West 37th Street,https://www.google.com/maps/search/?api=1&query=320+West+37th+Street%2C+Brooklyn%2C+ny%2C+10018%2C+us,40.580849,-74.00397,"""320 West 37th Street Brooklyn, NY"""
NY,New York,"Dismantle Patriarchy Art Contest for Students, deadline 2/28/21",Radical Feminist Activists,1,40.7127281,-74.0060152,Movements,https://www.meetup.com/RadFemActivists/events/274910866,New York,https://www.google.com/maps/search/?api=1&query=New+York%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152,"""New York New York, NY"""
NY,New York,"Volunteer with 10,000 PB&Js",Volunteer NYC,2,40.7127281,-74.0060152,Movements,https://www.meetup.com/volunteernyc/events/275837257,32nd Street and 7th Avenue,https://www.google.com/maps/search/?api=1&query=32nd+Street+and+7th+Avenue%2C+New+York%2C+NY%2C+10001%2C+us,40.802533,-73.953026,"""32nd Street and 7th Avenue New York, NY"""
NY,New York,Monthly Meetup ( Meet others passionate about permaculture and share projects).,The New York Permaculture Meetup,6,40.7127281,-74.0060152,Movements,https://www.meetup.com/nycpermaculture/events/275771409,1095 Sixth Ave ,https://www.google.com/maps/search/?api=1&query=1095+Sixth+Ave+%2C+New+York%2C+NY%2C+10018%2C+us,40.754842,-73.984118,"""1095 Sixth Ave  New York, NY"""
NY,New York,An-Cap After Work,New York Anarcho-Capitalist Meetup,1,40.7127281,-74.0060152,Movements,https://www.meetup.com/nycancap/events/275897559,10 West 33rd Street,https://www.google.com/maps/search/?api=1&query=10+West+33rd+Street%2C+New+York%2C+NY%2C+us,40.747811,-73.985271,"""10 West 33rd Street New York, NY"""
NY,New York,The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,1,40.7127281,-74.0060152,Movements,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275918383,627 9th Ave,https://www.google.com/maps/search/?api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI,40.7615795,-73.9905641,"""627 9th Ave New York, NY"""
NY,New York,Weekly Thursday Meetup,The Original Drinking Liberally NYC,1,40.7127281,-74.0060152,Movements,https://www.meetup.com/drinkingliberallynyc/events/275918400,627 9th Avenue,https://www.google.com/maps/search/?api=1&query=40.760040%2C-73.991821,40.7615795,-73.9905641,"""627 9th Avenue New York, NY"""
NY,New York,thelovemaze.com Singles Wine and Love Sunday @ Brookfield Place,Singles by Neighborhood-,1,40.7127281,-74.0060152,Movements,https://www.meetup.com/Singles-by-Neighborhood/events/275830612,230 Vesey St,https://www.google.com/maps/search/?api=1&query=40.712715%2C-74.015280,40.714271,-74.014903,"""230 Vesey St New York, NY"""
NY,New York,MONTHLY NOnprofit and volunteering networking,NYC Non-Profit Meetup Club (NYCNP),1,40.7127281,-74.0060152,Movements,https://www.meetup.com/NYCNonprofit/events/275895490,321 W 44th St #103,https://www.google.com/maps/search/?api=1&query=40.759132%2C-73.989899,40.759059,-73.9898271,"""321 W 44th St #103 New York, NY"""
NJ,Maplewood,LGBT Women ,Come Out & Talk LGBT Females Forty & Up,2,40.7312123,-74.2734808,LGBTQ,https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275919245,600 Ridgewood Rd,https://www.google.com/maps/search/?api=1&query=600+Ridgewood+Rd%2C+Maplewood%2C+NJ%2C+07040%2C+us,40.730753,-74.2826,"""600 Ridgewood Rd Maplewood, NJ"""
NY,New York,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,40.7127281,-74.0060152,LGBTQ,https://www.meetup.com/bisexual-nyc/events/275652731,Virtual Online Meeting,https://www.google.com/maps/search/?api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,42.81143,-76.879806,"""Virtual Online Meeting New York, NY"""
NY,Manhattan,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,40.7896239,-73.9598939,LGBTQ,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/?api=1&query=40.734240%2C-73.999084,40.77427,-73.96981,"""425 Avenue of the Americas (Sixth Avenue and 10th Street Manhattan, NY"""
NY,New York,Steele Wool by Frank A. Cappello,Oddball Cinema,1,40.7127281,-74.0060152,Film,https://www.meetup.com/Oddball-Cinema/events/275407602,433 E 6th St,https://www.google.com/maps/search/?api=1&query=40.725964%2C-73.984620,40.7127281,-74.0060152,"""433 E 6th St New York, NY"""
NJ,Union,Rockin' Knitters -  Virtual meetings until further notice,Rockin' Knitters  Meetup Group,4,40.6976019,-74.2632024,Hobbies & Crafts,https://www.meetup.com/Rockinknitters-Meetup-Group/events/275229623,1023 Stuyvesant Ave,https://www.google.com/maps/search/?api=1&query=40.696686%2C-74.268845,40.6962983,-74.2705076,"""1023 Stuyvesant Ave Union, NJ"""
NY,Brooklyn,Singalong and Story Time for Kids,Family fun in Brooklyn,2,40.6501038,-73.9495823,Family,https://www.meetup.com/Family-fun-in-Brooklyn/events/275873427,695 5th Ave,https://www.google.com/maps/search/?api=1&query=40.661053%2C-73.993462,40.6501038,-73.9495823,"""695 5th Ave Brooklyn, NY"""
NJ,Jersey City,My Gym Little Bundles Classes,JCFamilies,1,40.7281575,-74.0776417,Family,https://www.meetup.com/JCFamilies/events/275886037,252 9th St,https://www.google.com/maps/search/?api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.728409,-74.044491,"""252 9th St Jersey City, NJ"""
NJ,West Orange,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7987113,-74.2390353,Family,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St West Orange, NJ"""
NJ,West Orange,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,40.7987113,-74.2390353,Family,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St West Orange, NJ"""
NY,New York,Central Park Speakers (IN PERSON) - Public Speaking Practice ,Central Park Speakers (in person),4,40.7127281,-74.0060152,Learning,https://www.meetup.com/Central-Park-Speakers-IN-PERSON/events/275874023,10 Columbus Cir,https://www.google.com/maps/search/?api=1&query=The+Shops+at+Columbus+Circle%2C+10+Columbus+Cir%2C+New+York%2C+NY%2C+10019%2C+us&query_place_id=ChIJp3PsL_ZYwokRdBcE-3KTjrg,40.76768,-73.982152,"""10 Columbus Cir New York, NY"""
