event_name,group_name,attendees,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address,city_id
Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,11,Outdoors & Adventure,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,901 Park Ave,https://www.google.com/maps/search/api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,40.7433066,-74.0323752,"901 Park Ave Hoboken, NJ",35
Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,4,Outdoors & Adventure,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,901 Park Ave,https://www.google.com/maps/search/api=1&query=40.747830%2C-74.030460,40.7433066,-74.0323752,"901 Park Ave Hoboken, NJ",35
"First Sunday of the month, a joint walk with Everwalk (may use for Kennedy50)",FreeWalkers,4,Outdoors & Adventure,https://www.meetup.com/FreeWalkers/events/275895708,1 Audrey Zapp Dr,https://www.google.com/maps/search/api=1&query=40.708190%2C-74.038210,40.709994,-74.051887,"1 Audrey Zapp Dr Jersey City, NE",2
GV Hoboken Climbing Session,Hudson County Indoor Rock Climbing,3,Outdoors & Adventure,https://www.meetup.com/hudson-county-indoor-rock-climbing/events/275892333,1423 Clinton Street ,https://www.google.com/maps/search/api=1&query=40.754820%2C-74.030050,40.7548565,-74.0300675,"1423 Clinton Street  Hoboken , NJ",36
"Newark Community Cycling Group Ride. This is a non-drop ride, discover NEWARK ",Outdoor Adventure Sports,1,Outdoors & Adventure,https://www.meetup.com/outdooradventuresports/events/275895919,14 Rector Street,https://www.google.com/maps/search/api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us,40.740752,-74.168407,"14 Rector Street Newark, NJ",56
Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,32,Outdoors & Adventure,https://www.meetup.com/trailshrinks/events/275798719,Crest Dr,https://www.google.com/maps/search/api=1&query=40.810840%2C-74.234490,40.80339420000001,-74.2382416,"Crest Dr West Orange, NJ",93
Volunteer Trip - Paddle North - 6 mile round trip,Hoboken Cove Community Boathouse,3,Outdoors & Adventure,https://www.meetup.com/Hoboken-Cove-Community-Boathouse/events/275865290,Frank Sinatra Dr,https://www.google.com/maps/search/api=1&query=40.748386%2C-74.024025,40.741667,-74.026392,"Frank Sinatra Dr Hoboken, NJ",35
Monthly meeting and Trip planning,New York Caving Meetup Group,6,Outdoors & Adventure,https://www.meetup.com/New-York-Cavers/events/275376807,  569 Hudson St,https://www.google.com/maps/search/api=1&query=40.735905%2C-74.006180,40.735845,-74.00596,"  569 Hudson St New York, NY",140
Hudson Walkway Loop/Reese Park Social Distancing 6 Mile Hike/Walk,"New York Hikes, Happy Hours & Outdoor Adventures",2,Outdoors & Adventure,https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,Your Guide will meet you when you get out from the train at Poughkeepsie,https://www.google.com/maps/search/api=1&query=Your+Guide+will+meet+you+when+you+get+out+from+the+train+at+Poughkeepsie%2C+New+York%2C+NY%2C+us,40.709686,-74.011674,"Your Guide will meet you when you get out from the train at Poughkeepsie New York, NY",140
Private Social Distancing NYC Subways & Stations History Tour,SINGLES TRAVEL AND ADVENTURE!,1,Outdoors & Adventure,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275555362,"416 8th ave, Corner of 31st",https://www.google.com/maps/search/api=1&query=40.750084%2C-73.994670,40.750179,-73.99493199999998,"416 8th ave, Corner of 31st New York, NY",140
West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,Family,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St West Orange, NJ",93
