state,city,category,event_name,group_name,attendees,event_link,lat,lng,population
NJ,Jersey City,Book Clubs,A Discussion of “Sense & Sensibility” by Jane Austen ,Jane Austen Book Club NYC,10,https://www.meetup.com/jane-austen-book-club-nyc/events/275546658,40.7161,-74.0682,262075
NJ,Jersey City,Book Clubs,Brooklyn Heights Women's Book Club Monthly Meetup,Brooklyn Heights Women's Book Club,2,https://www.meetup.com/Brooklyn-Heights-Book-Club/events/270772307,40.7161,-74.0682,262075
NJ,Jersey City,Book Clubs,Sanskrit Vocab 101 for Kundalini meditation yoga ayurveda by Joshi ,Kundalini Chakra Mindful Meditation Yoga Ayurveda Bookclub,1,https://www.meetup.com/New-York-Meditation-Yoga-Kundalini-Meetup-Group-by-Joshi/events/275836399,40.7161,-74.0682,262075
NJ,Jersey City,Book Clubs,BROOKLYN Smutty Book Club - ,Brooklyn Smutty Book Club,2,https://www.meetup.com/BROOKLYN-Smutty-Book-Club/events/274809254,40.7161,-74.0682,262075
NJ,Jersey City,Pets,Paint and Sip Pet Portrait Fun- Valentine's Day -Barking Dog NEW YORK,Paint Your Pet and Mingle with Pet Lovers,1,https://www.meetup.com/Paint-Your-Pet-and-Mingle-with-Pet-Lovers/events/275688252,40.7161,-74.0682,262075
NJ,Jersey City,Pets,New York City Basenji Gathering - 24 January 2021,New York City Basenji Meetup,5,https://www.meetup.com/basenji-nyc/events/275923078,40.7161,-74.0682,262075
NJ,Jersey City,Pets,Weekday Mutt Meetup,Harlem Meer Mutts Club,3,https://www.meetup.com/Harlem-Meer-Mutts-Club/events/275842205,40.7161,-74.0682,262075
NJ,Jersey City,Pets,8 am /10:30 am /6 pm Church of the Holy Trinity Services,Plans for Pups (PfP) -- We have plans for pups!,0,https://www.meetup.com/PlansForPups/events/275822680,40.7161,-74.0682,262075
NJ,Atlantic City,Social,Schucker's Bar And Grill Dinner and Party For any one  that  got both Vaccines,Singles Over 50 Friends Group,3,https://www.meetup.com/Singles-Over-50-Friends-Group/events/275746870,39.3797,-74.4527,237054
NJ,Paterson,Outdoors & Adventure,SCUBA Discovery Experience,NJ  Scuba Meetup Group,5,https://www.meetup.com/scuba-nj/events/275651699,40.9147,-74.1624,145233
NJ,Paterson,Outdoors & Adventure,Nitrox Diver Course,NJ Warren Scuba Group,1,https://www.meetup.com/Scuba-Divers-Travel-Network-SDTN/events/275158311,40.9147,-74.1624,145233
NJ,Paterson,Outdoors & Adventure,Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,32,https://www.meetup.com/trailshrinks/events/275798719,40.9147,-74.1624,145233
NJ,Paterson,Outdoors & Adventure,Hike at Eagle Rock Reservation ,Trail Shrinks Youngens,1,https://www.meetup.com/TrailshrinksYoungens-com/events/275920471,40.9147,-74.1624,145233
NJ,Paterson,Learning,B2B Virtual Networking Event: How to Achieve Future Goals Right Now,Bergen Community College Education and Events,1,https://www.meetup.com/Bergen-Community-College-Education-and-Events/events/275844257,40.9147,-74.1624,145233
NJ,Paterson,Learning,Socrates Cafe,"Socrates Cafe of Teaneck, NJ",9,https://www.meetup.com/Socrates-Cafe-Teaneck/events/275419550,40.9147,-74.1624,145233
NJ,Paterson,Food & Drink,Let’s meet some wolves ,A little bit of this and a little of that,25,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,40.9147,-74.1624,145233
NJ,Paterson,Writing,Coffee and Writing at Barnes and Noble,North Bergen County Writer's Guild,1,https://www.meetup.com/North-Bergen-County-Writers-Guild/events/275896777,40.9147,-74.1624,145233
NJ,Paterson,Music,"Tuesdays are our regularly scheduled rehearsals, guests are welcome.",Dapper Dans of Harmony,2,https://www.meetup.com/Dapper-Dans-of-Harmony/events/275874884,40.9147,-74.1624,145233
NJ,Paterson,Music,Harmony Celebration Chorus Rehearsal,Harmony Celebration Chorus,1,https://www.meetup.com/HarmonyCelebrationChorus/events/275898566,40.9147,-74.1624,145233
NJ,Paterson,Movements,Raise Funds & Spirits! Lincoln Day Dinner 2021,Dennis Prager Fan Club,1,https://www.meetup.com/dennis-prager-fan-club/events/275773533,40.9147,-74.1624,145233
NJ,Paterson,Sci-Fi & Games,The Yet-To-Be-Named-By-The-Players-Squad (Roster Full),Gamers Of Northern New Jersey,7,https://www.meetup.com/Gamers-Of-NNJ/events/272960518,40.9147,-74.1624,145233
