event_link,event_state,event_city,event_street,Google_Map_Link
https://www.meetup.com/NewYorkYR/events/275725855,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/rise-and-resist/events/275736050,ny,Brooklyn,320 West 37th Street,https://www.google.com/maps/search/?api=1&query=320+West+37th+Street%2C+Brooklyn%2C+ny%2C+10018%2C+us
https://www.meetup.com/propeace/events/275790802, , , , 
https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790763,ny,New York,Cyberspace,https://www.google.com/maps/search/?api=1&query=Cyberspace%2C+New+York%2C+ny%2C+10001%2C+us
https://www.meetup.com/nycpermaculture/events/275771409,NY,New York,1095 Sixth Ave ,https://www.google.com/maps/search/?api=1&query=1095+Sixth+Ave+%2C+New+York%2C+NY%2C+10018%2C+us
https://www.meetup.com/RadFemActivists/events/274910866,ny,New York,New York,https://www.google.com/maps/search/?api=1&query=New+York%2C+New+York%2C+ny%2C+10001%2C+us
https://www.meetup.com/drinkingliberallynyc/events/275777840,NY,New York,627 9th Avenue,https://www.google.com/maps/search/?api=1&query=40.760040%2C-73.991821
https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275777821,NY,New York,627 9th Ave,https://www.google.com/maps/search/?api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI
https://www.meetup.com/Singles-by-Neighborhood/events/275735476,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275240329,NJ,Maplewood,600 Ridgewood Rd,https://www.google.com/maps/search/?api=1&query=600+Ridgewood+Rd%2C+Maplewood%2C+NJ%2C+07040%2C+us
https://www.meetup.com/bisexual-nyc/events/275652731,ny,New York,Virtual Online Meeting,https://www.google.com/maps/search/?api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us
https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/?api=1&query=40.734240%2C-73.999084
https://www.meetup.com/Oddball-Cinema/events/274644312,NY,New York,250 Greenwich St Floor 46,https://www.google.com/maps/search/?api=1&query=40.713417%2C-74.011930
https://www.meetup.com/Gamers-Of-NNJ/events/272960517,NJ,Bloomfield,,https://www.google.com/maps/search/?api=1&query=40.806755%2C-74.185420
https://www.meetup.com/Maplewood-Magic-The-Gathering-Meetup/events/275736004,NJ,Maplewood,1970 Springfield Ave,https://www.google.com/maps/search/?api=1&query=40.720135%2C-74.274269
https://www.meetup.com/Fortnite-NYC-NJ-Zone-Wars/events/275796010,NJ,North Bergen,3167 John F. Kennedy Blvd,https://www.google.com/maps/search/?api=1&query=Helix+eSports+North+Bergen%2C+3167+John+F.+Kennedy+Blvd%2C+North+Bergen%2C+NJ%2C+07047%2C+us&query_place_id=ChIJOXjOj59XwokRB9sLlJpqFTY
https://www.meetup.com/Maplewood-hobby-ORGANIZED-play/events/275736069,NJ,Maplewood,1970 Springfield Ave,https://www.google.com/maps/search/?api=1&query=40.720135%2C-74.274269
https://www.meetup.com/Garden-State-Gaming-Society/events/275713720, , , , 
https://www.meetup.com/worldfreepoker/events/275778193,NJ,Bayonne,184 Broadway,https://www.google.com/maps/search/?api=1&query=Buttero%2C+184+Broadway%2C+Bayonne%2C+NJ%2C+07002%2C+us&query_place_id=ChIJV8dAm_5NwokRuKvk1t9hmUA
https://www.meetup.com/TheTipsyMeeple/events/275714552, ,Springfield,595 Morris Ave,https://www.google.com/maps/search/?api=1&query=40.717140%2C-74.325691
https://www.meetup.com/Crystal-Manga-Cafe/events/275757752,NY,TBA,TBA,https://www.google.com/maps/search/?api=1&query=TBA%2C+TBA%2C+NY%2C+us
https://www.meetup.com/Poker-Night-Out-NYC/events/275775830, ,New York,"Chinatown, New York, NY",https://www.google.com/maps/search/?api=1&query=Chinatown%2C+New+York%2C+NY%2C+New+York%2C+Ne%2C+US
https://www.meetup.com/NYC-Home-Holdem-game/events/275760398,NY,Manhattan,Manhattan,https://www.google.com/maps/search/?api=1&query=Manhattan%2C+Manhattan%2C+NY%2C+10036%2C+us
https://www.meetup.com/nyc-vtes/events/275778742,NY,New York,115 W 45th St,https://www.google.com/maps/search/?api=1&query=115+W+45th+St%2C+New+York%2C+NY%2C+10036%2C+us
https://www.meetup.com/After-Work-Board-Games/events/275735876,NY,New York,119 Chambers St,https://www.google.com/maps/search/?api=1&query=40.715412%2C-74.008430
https://www.meetup.com/NYC-DND/events/269487560,NY,New York,11 East 33rd Street,https://www.google.com/maps/search/?api=1&query=40.747402%2C-73.984150
https://www.meetup.com/Jersey-City-Artists/events/275733289,NJ,Jersey City,29 McWilliams Pl.,https://www.google.com/maps/search/?api=1&query=29+McWilliams+Pl.%2C+Jersey+City%2C+NJ%2C+us
https://www.meetup.com/Imaginative-Illustrators-Of-NYC/events/275157777,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/steampunk/events/275520135,Ne,New York,"177 Prince St, New York, NY 10012",https://www.google.com/maps/search/?api=1&query=177+Prince+St%2C+New+York%2C+NY+10012%2C+New+York%2C+Ne%2C+10012%2C+us
https://www.meetup.com/Brooklyn-Heights-Book-Club/events/270772302, , , , 
https://www.meetup.com/ny-ballroom-dance/events/275726732,NJ,Nutley,7 High St,https://www.google.com/maps/search/?api=1&query=Starlight+Dance+Center%2C+7+High+St%2C+Nutley%2C+NJ%2C+07110%2C+us&query_place_id=ChIJozXc0mX_wokRFtJd-Zo17q0
