event_state,event_city,event_street
NJ,Lodi,460 Passaic Avenue
NY,Astoria,34-37 37th Street
NY,New York,281 Main Street
NY,New York,Riverside Dr
NY,New York, Central Park South
NJ,Jersey City,870 Montgomery St
NY,New York,103rd Street and Riverside Dr.
NY,New York,86th St Transverse
NJ,Jersey City,1 Audrey Zapp Dr
NY,New York,555 E 90th St
NY,New York,W 54th St
NY,New York,2 East 90th Street
NY,10009,E 6 ST & FDR DR
NY,New York,SouthEast Corner of Central Park. (5th Ave & 59th St.)
NY,New York,11 W 53rd St
NY,New York,51 W 14th St #3r
NY,New York,111 East 33rd St.
NJ,Jersey City,143 Christopher Columbus Dr
NY,New York,158 E. 115th Street
NY,Brooklyn,"147 Prince Street, 4th Floor"
NY,Brooklyn,243 78th St
NY,New York,484 W 43rd St
NY,Brooklyn,769 Washington Avenue
NY,Brooklyn,227 Utica Avenue
NY,New York,Cyberspace
NY,Brooklyn,320 West 37th Street
NY,New York,2 West 64th Street (At Central Park West)
NY,New York,1095 Sixth Ave 
NY,New York,32nd Street and 7th Avenue
NY,New York,10 West 33rd Street
NY,New York,New York
NY,New York,627 9th Ave
NY,New York,627 9th Avenue
NY,New York,321 W 44th St #103
NY,Brooklyn,105 Montrose Ave 
NY,New York ,2149 Frederick Douglass Blvd
NY,New York,Virtual Online Meeting
NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street
NY,New York,939 Lexington Avenue (between E. 68th & E. 69th Streets)
NY,New York,433 E 6th St
NY,New York ,1085 5th Avenue 
NY,New York,270 Greenwich Street Cafe Level
NY,Brooklyn,273 13th Street
NY,New York,1678 3rd Ave
NY,10012,Sullivan St & Washington Square S
NY,New York,Central Park
NJ,Matawan,Cheesequake State Park
NJ,Edison,Main St
NJ,New Brunswick,51 US Hwy 1
NY,Staten Island,1 Eton Pl
NJ,Woodbridge,600 Main Street
NJ,Metuchen,215 Durham Avenue
NJ,Edison,"485, U.S. 1"
NJ,Milltown,89 Albert Avenue
NJ,South Plainfield,25 Davis Street
NJ,Cranford,29 Alden Street 
NJ,South Amboy,Garden State Pkwy
NJ,Edison,Pierson Ave
NJ,Edison ,Contact Scott
NJ,Roselle,587 Raritan Road
NJ,Matawan,"169 Main Street, Ste 105"
NJ,Piscataway,54 Joyce Kilmer Avenue
NJ,Piscataway,54 Joyce Kilmer Avenue
NJ,Aberdeern,95 Cambridge Drive
NJ,South River,284 Whitehead Avenue  (485 Whitehead Avenue for GPS)
NJ,South River,284 Whitehead Avenue (485 Whitehead Avenue for GPS) 
NJ,Mountainside,New Providence Road
NJ,Mountainside,452 New Providence Rd
NJ,Edison,55 Parsonage Rd
NJ,edison,1551 US Highway 1 South
NJ,Madison,10-12 Elmer St Unit A
NJ,Bridgewater,159 Rt 22 East Greenbrook
NJ,Edison,Pierson Ave
