Unnamed: 0,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link,city_event_lat,city_event_lng
76,NJ,Jersey City,Learning,Jolly January,Humorous Toastmasters,3,40.7161,-74.0682,262075,https://www.meetup.com/Toastmasters-New-York/events/275917096,NY,New York,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152
77,NJ,Jersey City,Learning,Socrates Cafe,"Socrates Cafe of Teaneck, NJ",9,40.7161,-74.0682,262075,https://www.meetup.com/Socrates-Cafe-Teaneck/events/275419550,NJ,Teaneck,687 Larch Ave,https://www.google.com/maps/search/?api=1&query=40.888088%2C-74.026237,40.8860164,-74.0072568
78,NJ,Jersey City,Learning,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,40.7161,-74.0682,262075,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,NY,New York,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640,40.7127281,-74.0060152
79,NJ,Jersey City,Learning,Toastmasters Meeting,Bay Ridge Toastmasters,1,40.7161,-74.0682,262075,https://www.meetup.com/Bay-Ridge-Toastmasters/events/275896680,NY,New York,800 Poly Place,https://www.google.com/maps/search/?api=1&query=800+Poly+Place%2C+New+York%2C+NY%2C+11209%2C+us,40.7127281,-74.0060152
80,NJ,Jersey City,Photography,Photography thru The Museum of Modern Art,Michael Downey Photography,3,40.7161,-74.0682,262075,https://www.meetup.com/MAD-Photo-Excursions/events/275653633,NY,New York,11 W 53rd St,https://www.google.com/maps/search/?api=1&query=40.761433%2C-73.977620,40.7127281,-74.0060152
81,NJ,Jersey City,Photography,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.7161,-74.0682,262075,https://www.meetup.com/photography-classes-nyc/events/274851102,NY,New York,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834,40.7127281,-74.0060152
82,NJ,Jersey City,LGBTQ,Brunch @Blvd Bistro,KINGZ,5,40.7161,-74.0682,262075,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,NY,New York ,2149 Frederick Douglass Blvd,https://www.google.com/maps/search/?api=1&query=2149+Frederick+Douglass+Blvd%2C+New+York+%2C+NY%2C+10026%2C+us,40.7127281,-74.0060152
83,NJ,Jersey City,LGBTQ,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,40.7161,-74.0682,262075,https://www.meetup.com/bisexual-nyc/events/275652731,NY,New York,Virtual Online Meeting,https://www.google.com/maps/search/?api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152
84,NJ,Jersey City,LGBTQ,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,40.7161,-74.0682,262075,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/?api=1&query=40.734240%2C-73.999084,40.7896239,-73.9598939
86,NJ,Jersey City,LGBTQ,"Book to be discussed: ""The White Guard"" by Mikhail Bulgakov",The Third Monday Gay Men's Book Club,6,40.7161,-74.0682,262075,https://www.meetup.com/The-Third-Monday-Gay-Guys-Book-Club/events/275709827,NY,New York,939 Lexington Avenue (between E. 68th & E. 69th Streets),https://www.google.com/maps/search/?api=1&query=40.767810%2C-73.962010,40.7127281,-74.0060152
87,NJ,Jersey City,Film,Steele Wool by Frank A. Cappello,Oddball Cinema,1,40.7161,-74.0682,262075,https://www.meetup.com/Oddball-Cinema/events/275407602,NY,New York,433 E 6th St,https://www.google.com/maps/search/?api=1&query=40.725964%2C-73.984620,40.7127281,-74.0060152
88,NJ,Jersey City,Sci-Fi & Games,Sunday Funday Magic the Gathering in Brooklyn,I'd Tap That - NYC Chapter (Casual Magic the Gathering),1,40.7161,-74.0682,262075,https://www.meetup.com/Id-Tap-That-Brooklyn-Chapter-Casual-Magic-the-Gathering/events/275830540,NY,Brooklyn,247 Varet Street,https://www.google.com/maps/search/?api=1&query=247+Varet+Street%2C+Brooklyn%2C+NY%2C+us,40.6501038,-73.9495823
89,NJ,Jersey City,Sci-Fi & Games,Tabletop Game Night,Brooklyn Strategist Evening Events Meetup,2,40.7161,-74.0682,262075,https://www.meetup.com/Brooklyn-Strategist-Evening-Events-Games-Meetup/events/275799502,NY,Brooklyn,333 Court Street,https://www.google.com/maps/search/?api=1&query=40.682762%2C-73.995544,40.6501038,-73.9495823
